,lyrics,title,album,,,
,"Long gone 
Ooo ooo ooo ooo ooo 
Long gone 
Ooo ooo ooo ooo ooo 
Long gone 
There's no shadow where you stood 
So long 
I would find you if I could 

Long gone 
Long gone 
Long gone 
Long gone 
Long gone, long gone 

Long gone 
Ooo ooo ooo ooo ooo 
Long gone 
Ooo ooo ooo ooo ooo 
Long gone 
There's a distance far away 
Long gone 
If I believed I would pray 
(La la la la la la la la la) 

Long gone 
Long gone 
(La la la la la la la la la) 
Long gone 
Long gone 
(La la la la la la la la la) 
Long gone, long gone 

Long gone 
Ooo ooo ooo ooo ooo 
Long gone 
Ooo ooo ooo ooo ooo 
(La la la la la la la la la) 

Long gone 
Long gone 
(La la la la la la la la la) 
Long gone 
Long gone 
(La la la la la la la la la) 
Long gone, long gone 

Long gone 
Ooo ooo ooo ooo 
Ooo ooo ooo",Long gone,Fuzzy Logic,,,
,"It's been a funny kind of day 
Sîan Lloyd says the sun will come and play 
Emotive in transit, we'll be together 'til the end 

We'll be together 
Oh! Ho! Oh! Ho! Ho! 
For now and ever 
Oh! Ho! Oh! Ho! Ho! Oh! Ho! Oh! Ho! Ho! Oh! Ho! Oh! Ho! Ho! Oh! Ho! Oh! Ho! Ho! Oh! Ho! Oh! Ho! Ho! Oh! Ho! Oh! Ho! Ho! Oh! Ho! Oh! Ho! Ho!",For now and ever,Fuzzy Logic,,,
,,,,,,
,"Paw print marks leave a telltale sign 
There's a furry friend loose and committing a crime 
Takes no precaution leaving the fold 
For the placid casual have remote control 

Fuzz clogs up my video 
What do we do now? 
Now we are free again 

Freetown rocked in Sierra Leone 
When Valentine Strasser danced his way to the throne 
Gunpowder smoke took a heavy toll 
But they weren't placid casual so they lost control 

Fuzz clogs up my video 
What do we do now? 
Now we are free again 

Fuzz clogs up my video 
What do we do now? 
Now we are free again Now we are free again",Placid Casual,Radiator,,,
,"It's not where you're from 
It's not where you're at 
It's not where you've been 
It's where you're between 
It's not what you've been 
It's not what you've seen 
It's where you're between 
It's not what you've seen 
It's where you're between 

La la la la La la la la La la la la La la la la La la la la 
Ooh! Ooh! Ooh! 
La la la la 
Ooh! Ooh! Ooh! 

From A to Bee 
Then onto Cee 
Don't stop the journey 
'Til you get to Zee 
'Til you get to Zee 
There's nothing to see 
Don't stop the journey 
There's nothing to see 
Don't stop the journey 

Every time I look around me everything seems so stationary 
It just sends me the impulse to become reactionary 
Spell it out, rip it up, rearrange it, on the contrary 
If I scream it I mean it, I hope you will understand me 
Wooh! 

La la la la La la la la La la la la",,,,,
,"Clarity just confuses me 
The lines drawn on a map 
A strange assembly 

When there's northerners in southerners 
And westenders in eastenders 
And sunny days in January 
Left spaces in my diary 

But the demons never need to know 
What the demons never got to see 
As we fall in and out of line 
Stay in touch now for a while 
Because the demons never need to know 
What the demons never got to see 
As we fall in and out of line 
Stay in touch now for a while 

Coz I know that 
Apathy only ruined me 
Hanging around waiting for calamity 

And by the year four million 
Our skins will be vermilion 
I own a dartboard memory 
So I'll forget any felony 

But the demons never need to know 
What the demons never got to see 
As we fall in and out of line 
Stay in touch now for a while 
But the demons never need to know 
What the demons never got to see 
As we fall in and out of line 
Stay in touch now for a while 

Coz I know that you know that we know they don't know what's going on 

And the demons never need to know 
What the demons never got to see 
As we fall in and out of line 
Stay in touch now for a while 
But the demons never need to know 
What the demons never got to see 
As we fall in and out of line 
Stay in touch now for a while 

But the demons never need to read 
What we never got around to write 
A flirt with mediocrity 
Comes with a heavy penalty 
But the demons never need to read 
What we never got around to write 
A flirt with mediocrity 
Comes with a heavy penalty 

Coz I know that you know that we know they don't know what's going on ",Demons,Radiator,,,
,"She's got spies and they're looking out for me 
But it's not like the KGB it's just a game we play 
She's got hooks meant for catching fish at sea 
And she's casting them out and about to catch me unaware 

She's got spies, but it's not quite like the KGB, you see 
She's got spies, but it's not quite like the CIA, no way 
She's got spies, but it's not quite like the MI6, sixty-six 
She's got spies, but it's not espionage that makes her tick 
And when the siren's singing I'll think a thought of you 

She's got eyes and they're lodged in the back of her head 
And she can see three-sixty degrees without turning around 
She'll sometimes cry after watching the six o'clock news 
And if the four-minute warning chimes we'll hide here underneath the desk 

She's got spies, but it's not quite like the KGB, you see 
She's got spies, but it's not quite like the CIA, no way 
She's got spies, but it's not quite like the MI6, sixty-six 
She's got spies, but it's not espionage that makes her tick 
And when the siren's singing I'll think a thought of you 

She's got spies, but it's not quite like the KGB 
She's got spies, but it's quite like the CIA 

And when the cold war's over 
The springtime thaw will flower 
And when the siren's singing 
We'll sense a new beginning just as we reach the end",She's got Spies,Radiator,,,
,"Dormant vices turned on their devices 
Now she's raising money for the sex appeal 
And when she grazed her knees upon the Astroturf 
All her blood turned green as the TV screamed 

Whatever you want to do, do it now and pay later 
Whatever you want to say, say it now and pay later 
Whatever you want to clean, wash it now and go later 
Whatever you want to do, do it now and pay later 

Coz it's no problem if you play it cool 
Things are different if you act the fool 

The electric mistress always sounds so bold 
She says I'm free to do anything I'm told 
I check the latest newsflash it's sensational! 
I feel so seduced tell me to reproduce 

Whatever you want to do, do it now and pay later 
Whatever you want to say, say it now and pay later 
Whatever you want to pray, pray it now and pay later 
Whatever you want to do, do it now and pay later 

Coz it's no problem if you play it cool 
Things are different if you act the fool 

Whatever you want to do, do it now and pay later 
Whatever you want to say, say it now and pay later 
Whatever you want to clean, wash it now and go later 
Whatever you want to do, do it now and pay later 

Coz it's no problem if you play it cool 
Things are different if you act the fool",Play it Cool,Radiator,,,
,"Hermann loves Pauline and Pauline loves Hermann 
They made love and gave birth to a little German 
(Hermann loves Pauline and Pauline loves Hermann) 
They call him MC squared because he raps like no other 
(Hermann loves Pauline and Pauline loves Hermann) 
An asthma sufferer like Ernesto Guevara 
(Hermann loves Pauline and Pauline loves Hermann) 
Too much Monte Cristo Number Four 
(Her and I believe) 
Pass the ventolin I need some more 
(There's so much more) 

We have ways of making you think 
(To do) 
We have ways of making you think 
(Than to be just a two point) 
We have ways of making you think 
(Four family) 
We have ways of making you think 
(Sanity) 
We have ways of making you think 
(Personality, ahaha) 
They told me over a drink 

They never noticed him at school they tell me 
He kept himself to himself 
He used to sit and stare up at the ceiling 
Hermann loves Pauline 

They never noticed him at school they tell me 
He suffered poor health 
He used to vacantly stare out the window 
Feeling under? 

Why do you do what they tell you? 

Marie Curie was Polish born but French bred (French bread!) 
Of course she ended up dead from radiation 
Slow invisible suffocation 
Down the twenty-four hour garage or any service station 
I lead my life in a quest for information 
Sensurrounded by pies and books 
Middle-aged drivers and deranged cooks 

They never noticed her at school they tell me 
She kept herself to herself 
She used to sit and stare up at the ceiling 
Hermann loves Pauline 

They never noticed her at school they tell me 
She suffered poor health 
She used to vacantly stare out the window 
Feeling under? 

Why do you do what they tell you? 

They never noticed her at school they tell me 
She kept herself to herself 
She used to sit and stare up at the ceiling 
Hermann loves Pauline 

They never noticed him at school they tell me 
He suffered poor health 
He used to vacantly stare out the window 
Feeling under?",Herman Loves Pauline,Radiator,,,
,"Chupa chupa chupacabras chupacabras chupacabras Chupa chupa chupacabras chupacabras chupacabras  

Have you heard about the bat? 
Eats your goat and then your cat 
Soon enough you will not smile 
When it comes you'll run a mile! 

It says: 
Soy super bien soy super super bien soy bien bien super bien bien bien super super! 
Soy super bien soy super super bien soy bien bien super bien bien bien super super! 

From Mexico it came to me 
I saw it down in Miami 
It vamps in and out of style 
When it comes you'll go loco! 

It says: 
Soy super bien soy super super bien soy bien bien super bien bien bien super super! 
Soy super bien soy super super bien soy bien bien super bien bien bien super super! 

Chupa chupa chupacabras chupacabras chupacabras chupacabras chupacabras 

Na na na na na na na 
Na na na na na na na 
Na na na na na na na na 
Na na na na na na na 

Soy super bien soy super super bien soy bien bien super bien bien bien super super! Soy super bien soy super super bien soy bien bien super bien bien bien super super! 
",Chupacabras,Radiator,,,
,"Icy waters flow between us 
In shelf life shock in the morning 
I see rivers split to deltas 
And trickle into the ocean 

With my bow and my arrow 
I will aim towards my atlas 
And where I hit I'll go 
And in my chosen location 
I will croon a sorry sermon 
And tune my bass to D.E.A.D. 
Ooooh 

Live volcanoes turn to craters 
When their egos turn into spacedust 
Teleport me from this vacuum 
I've some contraband information 

With my bow and my arrow 
I will aim towards my atlas 
And where I hit I'll go 
And in my chosen location 
I will croon a sorry sermon 
And tune my bass to D.E.A.D. 
Ooooh 

La la la la la la 
Just get out of my space! Just get out of my space! Just get out of my space! Just get out of my space! Just get out of my space! Just get out of my space! Just get out of my space! Just get out of my space! 

With my bow and my arrow 
I will aim towards my atlas 
And where I hit I'll go 
And in my given location 
I will croon a sorry sermon 
And tune my bass to L.U.V.? 
Ooooh ",Bass tuned to D.E.A.D.,Radiator,,,
,"Stuffed to the eyeballs with God knows what 
You're a conversational hazard 
Talking so quickly with so much ease 
I think you might have just snorted a blizzard 
Oh! Won't you tell it to someone else? 

And we'll go down a different river 
And we'll see where it carries us 
Meet me at the muster station 
And if the ship's going down we'll swim for the ground 
Come on, come and join us here 

Living a lie when I'm lying here 
I've got windswept eyes in the morning 
Doesn't improve as the day goes on 
You got a shagpile perm in the evening! 
If I could only make out the door 

And we'll go down a different river 
And we'll see where it carries us 
Meet me at the muster station 
And if the ship's going down we'll swim for the ground 
Come on, come and join us here, here, here, here 

If I could only make out the door! 
If I could only make out the door! 
If I could only make out the door! 
If I could only make out the door! 
(Slowly down a different river) 
If I could only make out the door! 
(Slowly down a different river) 
If I could only make out the door! 
(Slowly down a different river) 
If I could only make out the door! 
(Slowly down a different river) 
If I could only make out the door! 
(Slowly down a different river) 
(Slowly down)",Down a Different River,Radiator,,,
,"There are people who think, and people who don't 
And the people who don't are the ones who have most 
There are people who lie, and others who'll cry 
And the people who lie are the ones that get by 
In the corporate rush to devour the new 
We'll be losing our friends who will number but few 
Position yourself on another mans cruise 
One to share, the other to choose ",Download,Radiator,,,
,"They don't care about 
You and me 
Obviously 
No not us 
We're the mountain people 

So far away from those 
Tree lined streets 
Look so neat 
Not for us 
No fat chance 
We're the mountain people 

They seek us in the valley 
They'll seek us on the plain 
They own the milk and runny honey 
And they're not quite the same 

And we 
Live together under 
Fantasy 
Oak trees 
In the dark 
We make sparks 
So unique 
We're the mountain people 

Curiosity comes to 
Plead with me 
Vanity 
Strangles me 
Pulls me 
Shakes me down 
We're the mountain people 

They seek us in the valley 
They'll seek us on the plain 
They own the milk and runny honey 
And they're not quite the same 

Because 
They don't care about 
You and me 
Obviously 
Hand-me-down 
Culture 
Waiting for the vulture 
Yes-yes-yes 
We're the mountain people 
Hibernation comes so early 
This year 
Dig the peat 
Pile it high 
Let it dry 
One last chance at ignorance 
No fat chance 
We're the mountain people 

One short blast was 
Followed by 
Two longer ones 
Short blast 
Long blast 
Coming for the outcast 
Put me in a deep freeze 
And I'll sneeze 
We're the mountain people 

From a distance 
I can see them 
Pacing 
Upstream 
Slowly 
Ruthlessly 
Onwards 
Steady 
Nets and cages 
Open 
Ready 
Long term memory 
Soothes me 
Worry 
Take me 
Break me 
Any way you fancy 

Deep freeze put me in it and I'll sneeze, a 
Deep freeze put me in it and I'll sneeze, a 
Deep freeze put me in it and I'll sneeze, a 
Deep freeze put me in it
",Mountain People ,Radiator,,,
,,,,,,
,"I got you 
You got me 
We got plenty to see 
Let's sail the ocean, fancy-free 
We could ride the camel 
One hump or two? 

If we do or die 
We should try 
If we don't try 
I say bye-bye 
And if I say bye-bye 
I'll wonder why 
We didn't try 
To do or die 
Yeah yeah yeah 

I am free 
You are four 
Let's take a five 
We could climb a mountain and landslide 
We ride tornadoes 
We eat tomatoes 

If we do or die 
We should try 
If we don't try 
I say bye-bye 
And if I say bye-bye 
I'll wonder why 
We didn't try 
To do or die 
Yeah yeah yeah 

If we do or die 
We should try 
If we don't try 
I say bye-bye 
And if I say bye-bye 
I'll wonder why 
We didn't try 
To do or die 

And if we do or die 
We should try 
If we don't try 
I say bye-bye 
And if I say bye-bye 
I'll wonder why 
We didn't try 
To do or die 
Yeah yeah yeah! ",Do or Die,Gorilla,,,
,"It just occurred to me 
That things aren't as they seem: 
It's conspiracy 
Aaaah 

And we're living in a world of quicksand 
Castles on their keep 
Still waiting under siege 
For the turning tide up 
Need some inspiration 
Time to hitch a ride 
On the turning tide 
Ah ha ha 

The service was so slow 
My eyes began to grow 
Into telescopes 
Aaaah 

That are looking at a world of quicksand 
Castles on their keep 
Still waiting under siege 
For the turning tide up 
Need some inspiration 
Time to hitch a ride 
On the turning tide 

And we're living in a world of quicksand 
Castles on their keep 
Still waiting under siege 
For the turning tide up 
Need some inspiration 
With no obligation 
Coz there's quicksand 
Sucking up the goodness 
Graciously impatiently 
Is that the time out? 
Need recuperation 
Time to hitch a ride 
On the turning tide 
To the turning tide ",Quicksand,Gorilla,,,
,"Born in a manger 
You're getting stranger everyday 
Uncertain chancer 
You're sending everything astray 
You're certain danger 
You're a monsoon and a fire 
All in one 
Got me on the run 

There's a distant light 
(Distant light) 
A forest fire burning everything in sight 
(Easy fight) 
We pick it up in space with survey satellite 
(Survey satellite, looking at you) 
You're turning every modern theory 
On its head 
(Survey satellite, looking at you) 
Leaving me for dead 

You're so demanding 
You've got me fumbling for escape 
I'm understanding 
But I'm afraid it's all too late 
To find a meaning 
You're blowing everything away 
From coast to coast 
Got me much too close 

There's a distant light 
(Distant light) 
A forest fire burning everything in sight 
(Easy fight) 
We pick it up in space with survey satellite 
(Survey satellite, looking at you) 
You're turning every modern theory 
On its head 
(Survey satellite, looking at you) 
Leaving me for dead 

Don't worry me, or hurry me 
Blow me far away to the northern lights (X5) 
Abandon me, abandon me 
Blow me far away to the northern lights 
You rain on me, you rain on me 
Blow me far away to the northern lights 
Abandon me, abandon me 
Blow me far away to the northern lights 
Don't worry me, or hurry me 
Blow me far away to the northern lights 
Don't worry me, or hurry me 
Blow me far away to the northern lights 
Don't worry me, or hurry me 
Blow me far away to the northern lights ",Northern Lites,Gorilla,,,
,"We were the upside of down on a Saturday night 
And the girls were bickering and starting to fight 
""Hey you, don't push just wait your turn"" 
Said the bouncer to the woman with the carpet burn 
Said ""I exist in flexitime 
You'll need a ruler coz I'm out of line 
Your energetic young face will change to mush 
And the policeman will keep hush hush"" 
And say 

Night vision Night vision Night vision Night vision 

Well we're the enigmatic panda team 
And we don't think about reason when we have a dream 
And with pine kernel teeth we can chew on bone 
So count your country overthrown 
So we splinter group and do defect 
So the bouncer threw a wobbler at the woman he decked 
And we go wham! Wham! Wham! On the nightclub floor 
But security have immunity 
Don't go 

Night vision Night vision Night vision Night vision 

Well my T-shirt read we love airplane noise 
And as the Eurogirls kissed the Euroboys 
We say by-bye-buy it's time to fly 
And to the easy groove we make a move 
And go 

Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision 

Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision Night vision ",Night Vision ,Gorilla,,,
,"I've got a mobile phone 
I've got a mobile phone 
Wherever I lay my phone that's my home 
I've got a mobile phone I've got a mobile phone 

I've got City and the Guilds 
I've got City and the Guilds 
She's got City, I've got Guilds 
In desktop publishing In desktop publishing 

SFA OK 
SFA OK 
Super furry animal 
SFA OK SFA OK 

I've got a mobile phone 
I've got a mobile phone 
Wherever I lay my phone that's my home 
I've got a mobile phone 
I've got a mobile phone
I've got a mobile phone 
I've got a mobile phone 
Wherever I lay my phone that's my home 
I've got a mobile phone I've got a mobile phone I've got a mobile phone I've got a mobile phone I've got a mobile phone

(Tumour on the brain 
Tumour on the brain 
Status symbol disease says: 
I've got a mobile phone 
Tumour on the brain 
Tumour on the brain) 

I've got a mobile phone 
I've got a mobile phone 
Wherever I lay my phone that's my home 
I've got a mobile phone I've got a mobile phone I've got a mobile phone I've got a mobile phone

I've got style 'n' rock 'n' roll 
I've got a mobile phone ",Where ever i lay my phone (thats my home),Gorilla,,,
,"Some things come from nothing 
Nothing seems to come from something 

Some things come from nothing 
Nothing seems to come from something Nothing seems to come from something Nothing seems to come from something Nothing seems to come from something 

Some things come from nothing 
Nothing seems to come from something Nothing seems to come from something Nothing seems to come from something Nothing seems to come from something Nothing seems to come from something",Some things some from nothing,Gorilla,,,
,"The door to this house remains open 
The door to this house doesn't close 
The door is open to the alley 
The alley opens to the road 
The road it opens to the highway 
The highway opens to the road 
The road it leads me to a highway 
The highway leads right down your road 
The road it opens to an alley 
The alley leads me to your door 

The door to this house remains open 
The door to this house doesn't close The door to this house doesn't close The door to this house doesn't close The door to this house doesn't close 

La la la la la la la la la ",The door to this house remains open,Gorilla,,,
,"Want to come home from school 'cos it's a drag 
And when I come home from school I'm gonna pack my bags 
And when I come home from school I'm gonna run away 
And then I'll just start a band then learn how to play 

And before I know it I'll be back to life And before I know it I'll be back to life 
La la la la la la la la la la la la 

When I come home from school I'm gonna have a drink 
And when I come home from school I'm gonna start to think 
And when I come home from school I'm gonna burn my books 
And when I come home from school I'm gonna write some hooks 

And before I know it I'll be back to life And before I know it I'll be back to life 

La la la la la la la la la la la la... 
Coz I'm the teacher 
Yeah! Yeah! I'm the t..t..t..teacher 
Help, help, help",The Teacher,Gorilla,,,
,"I've got a fire in my heart for you 
I've got a fire in my heart for you 
I've got a fire in my heart 
'Though I'm falling apart 
Still I've got a fire in my heart for you 

I've got pins and needles for you 
I've got pins and needles for you 
You've got needles and pins 
And the seven deadly sins 
Still I've got a fire in my heart for you 

I've a butterfly stomach for you 
I've a butterfly stomach for you 
And as the cars fly by 
I just break down and cry 
Still I've got a fire in my heart for you 

Well the monkey puzzle tree 
Has some questions 
For the watchdogs of the profane 
And I ask is it sad 
That I'm driving myself mad 
As this fire in my heart turns blue? 

I've got a fire in my heart for you I've got a fire in my heart for you I've got a fire in my heart for you I've got a fire in my heart for you",Fire in my Heart,Gorilla,,,
,"[Gruff:] 
Blowing bubbles 
I've got stuff on my mind 
A thought left behind, so: 

[Cian:] 
Don't go chewing in bed 
You might wake up with it stuck in your hair 
[Repeat to end] 

[Gruff:] 
That's right, don't go chewing now 
You might get it right stuck in your hair 
[Repeat to end] 

[Bunf:] 
Chew, chew, chew, chewing gum 
[Repeat to end] 

[Dafydd:] 
That's right, don't go chewing now 
Aah-aah! 
[Repeat to end] ",Chewing Gum,Gorilla,,,
,"I came to meet you off the Western Line 
We hailed a taxi to save drinking time 
It's hustle bustle, don't you feel the rush? 
The law can't touch us with their flimsy brush 

And that's why I persist 
Where others can resist temptation 
To be with you 
I'm going to keep the cosmic trigger-happy 
Keep the cosmic trigger-happy 
Keep it real 

I know the doorman at the Hippo Club 
(He's called Paul) 
He let us in for free to hear the dub 
(He engineered us once on a track called ""Don't Be A Fool, Billy"") 
We drank a double at the upstairs bar 
(On Fierce Panda Records) 
Then headed downstairs coz it's better by far 

And that's why I persist 
Where others can resist temptation 
To be with you 
I'm going to keep the cosmic trigger-happy 
Keep the cosmic trigger-happy 
Keep it real 

And that's why I persist 
Where others can resist temptation 
To be with you 
I'm going to keep the cosmic trigger-happy 
Keep the cosmic trigger-happy 
Keep it 
Keep it 
Keep it real ",Keep the cosmic trigger happy,Gorilla,,,
